Alps                       by Peter Bird, September 2001
 +1.01466E+02,+1.69660E+01
 +1.02047E+02,+1.72488E+01
 +1.02629E+02,+1.75299E+01
 +1.03758E+02,+1.75801E+01
 +1.04888E+02,+1.76238E+01
 +1.05826E+02,+1.76436E+01
 +1.06764E+02,+1.76589E+01
 +1.07702E+02,+1.76697E+01
 +1.08640E+02,+1.76762E+01
 +1.09579E+02,+1.76782E+01
 +1.10515E+02,+1.76737E+01
 +1.11572E+02,+1.78501E+01
 +1.12632E+02,+1.80180E+01
 +1.13335E+02,+1.82203E+01
 +1.14040E+02,+1.84190E+01
 +1.13570E+02,+1.92936E+01
 +1.13093E+02,+2.01641E+01
 +1.12609E+02,+2.10345E+01
 +1.12122E+02,+2.19049E+01
 +1.11259E+02,+2.22393E+01
 +1.10395E+02,+2.25688E+01
 +1.09522E+02,+2.28927E+01
 +1.08648E+02,+2.32161E+01
 +1.07765E+02,+2.35294E+01
 +1.07216E+02,+2.41240E+01
 +1.06662E+02,+2.47213E+01
 +1.06098E+02,+2.53115E+01
 +1.05801E+02,+2.58730E+01
 +1.05501E+02,+2.64340E+01
 +1.05264E+02,+2.71946E+01
 +1.05024E+02,+2.79546E+01
 +1.05466E+02,+2.86999E+01
 +1.06329E+02,+2.91626E+01
 +1.07204E+02,+2.96206E+01
 +1.08111E+02,+2.99152E+01
 +1.09029E+02,+3.02002E+01
 +1.09946E+02,+3.04790E+01
 +1.10874E+02,+3.07481E+01
 +1.11273E+02,+3.11600E+01
 +1.11680E+02,+3.15666E+01
 +1.11696E+02,+3.21624E+01
 +1.11718E+02,+3.27536E+01
 +1.12340E+02,+3.33750E+01
 +1.12970E+02,+3.39932E+01
 +1.13316E+02,+3.43799E+01
 +1.13670E+02,+3.47658E+01
 +1.14283E+02,+3.47540E+01
 +1.14896E+02,+3.47353E+01
 +1.15684E+02,+3.41220E+01
 +1.16458E+02,+3.34991E+01
 +1.17217E+02,+3.28757E+01
 +1.18083E+02,+3.20826E+01
 +1.18937E+02,+3.12880E+01
 +1.19646E+02,+3.11105E+01
 +1.20305E+02,+3.13012E+01
 +1.20961E+02,+3.14933E+01
 +1.21548E+02,+3.14697E+01
 +1.22130E+02,+3.14438E+01
 +1.22711E+02,+3.14156E+01
 +1.23292E+02,+3.13850E+01
 +1.23532E+02,+3.15141E+01
 +1.23966E+02,+3.19440E+01
 +1.24454E+02,+3.24208E+01
 +1.24975E+02,+3.29239E+01
 +1.25502E+02,+3.34248E+01
 +1.25916E+02,+3.38136E+01
 +1.26269E+02,+3.41421E+01
 +1.26383E+02,+3.43975E+01
 +1.26316E+02,+3.50819E+01
 +1.26246E+02,+3.57654E+01
 +1.26190E+02,+3.63259E+01
 +1.26134E+02,+3.68864E+01
 +1.25945E+02,+3.77112E+01
 +1.25751E+02,+3.85356E+01
 +1.25403E+02,+3.94526E+01
 +1.25046E+02,+4.03685E+01
 +1.24300E+02,+4.10350E+01
 +1.23539E+02,+4.16965E+01
 +1.22762E+02,+4.23530E+01
 +1.21760E+02,+4.17936E+01
 +1.20776E+02,+4.12256E+01
 +1.19724E+02,+4.08484E+01
 +1.18684E+02,+4.04618E+01
 +1.18167E+02,+4.02368E+01
 +1.17653E+02,+4.00095E+01
 +1.17016E+02,+4.01881E+01
 +1.16375E+02,+4.03632E+01
 +1.15814E+02,+4.07274E+01
 +1.15247E+02,+4.10889E+01
 +1.14399E+02,+4.13315E+01
 +1.13545E+02,+4.15679E+01
 +1.12915E+02,+4.11933E+01
 +1.12293E+02,+4.08153E+01
 +1.11438E+02,+4.12968E+01
 +1.10570E+02,+4.17719E+01
 +1.09690E+02,+4.22403E+01
 +1.09044E+02,+4.28060E+01
 +1.08127E+02,+4.33179E+01
 +1.07195E+02,+4.38223E+01
 +1.06939E+02,+4.47081E+01
 +1.06675E+02,+4.55934E+01
 +1.06403E+02,+4.64780E+01
 +1.06146E+02,+4.75378E+01
 +1.05878E+02,+4.85969E+01
 +1.05680E+02,+4.94475E+01
 +1.05474E+02,+5.02977E+01
 +1.05002E+02,+5.09401E+01
 +1.04517E+02,+5.15806E+01
 +1.03601E+02,+5.21002E+01
 +1.02663E+02,+5.26126E+01
 +1.01212E+02,+5.33071E+01
 +9.97141E+01,+5.39834E+01
 +9.84251E+01,+5.42635E+01
 +9.71189E+01,+5.45296E+01
 +9.56853E+01,+5.45431E+01
 +9.42514E+01,+5.45397E+01
 +9.28183E+01,+5.45193E+01
 +9.13872E+01,+5.44820E+01
 +9.02221E+01,+5.41388E+01
 +8.90764E+01,+5.37845E+01
 +8.79502E+01,+5.34195E+01
 +8.70839E+01,+5.28153E+01
 +8.62414E+01,+5.22049E+01
 +8.46586E+01,+5.20195E+01
 +8.30897E+01,+5.18130E+01
 +8.16868E+01,+5.15917E+01
 +8.02980E+01,+5.13539E+01
 +7.89240E+01,+5.10999E+01
 +7.75655E+01,+5.08299E+01
 +7.63597E+01,+5.03347E+01
 +7.51792E+01,+4.98273E+01
 +7.40234E+01,+4.93082E+01
 +7.28920E+01,+4.87778E+01
 +7.17844E+01,+4.82365E+01
 +7.07003E+01,+4.76848E+01
 +6.96391E+01,+4.71231E+01
 +6.86003E+01,+4.65519E+01
 +6.75832E+01,+4.59714E+01
 +6.65631E+01,+4.53625E+01
 +6.55649E+01,+4.47447E+01
 +6.45879E+01,+4.41184E+01
 +6.36316E+01,+4.34840E+01
 +6.26952E+01,+4.28417E+01
 +6.17783E+01,+4.21920E+01
 +6.08801E+01,+4.15351E+01
 +6.00000E+01,+4.08714E+01
*** end of line segment ***
Laptev Sea                 by Peter Bird, May 2002
 +1.27436E+02,+7.68418E+01
 +1.24424E+02,+7.63621E+01
 +1.21620E+02,+7.58485E+01
 +1.19729E+02,+7.52713E+01
 +1.17979E+02,+7.46798E+01
 +1.17634E+02,+7.37955E+01
 +1.18507E+02,+7.29136E+01
 +1.19445E+02,+7.24102E+01
 +1.20332E+02,+7.19026E+01
 +1.21835E+02,+7.15246E+01
 +1.23278E+02,+7.11352E+01
 +1.25479E+02,+7.08340E+01
 +1.27612E+02,+7.05073E+01
 +1.30031E+02,+7.03038E+01
 +1.32398E+02,+7.00685E+01
 +1.35289E+02,+6.96909E+01
 +1.38073E+02,+6.92675E+01
 +1.38484E+02,+6.97952E+01
 +1.38916E+02,+7.03219E+01
 +1.39255E+02,+7.13548E+01
 +1.39633E+02,+7.23870E+01
 +1.39332E+02,+7.34491E+01
 +1.38990E+02,+7.45107E+01
 +1.38249E+02,+7.52996E+01
 +1.37426E+02,+7.60858E+01
 +1.34805E+02,+7.67448E+01
 +1.30921E+02,+7.69245E+01
 +1.27436E+02,+7.68418E+01
*** end of line segment ***
Ninety East-Sumatra        by Peter Bird, September 2001
 +6.87969E+01,-6.66454E+00
 +6.90145E+01,-7.47733E+00
 +6.92323E+01,-8.28907E+00
 +6.94503E+01,-9.10622E+00
 +6.96687E+01,-9.91538E+00
 +7.05162E+01,-1.02880E+01
 +7.13709E+01,-1.06598E+01
 +7.22261E+01,-1.10308E+01
 +7.30818E+01,-1.14009E+01
 +7.39381E+01,-1.17635E+01
 +7.48015E+01,-1.21252E+01
 +7.56655E+01,-1.24860E+01
 +7.65300E+01,-1.28459E+01
 +7.74017E+01,-1.31983E+01
 +7.82739E+01,-1.35498E+01
 +7.91467E+01,-1.39003E+01
 +8.00199E+01,-1.42432E+01
 +8.09004E+01,-1.45852E+01
 +8.17813E+01,-1.49262E+01
 +8.26628E+01,-1.52597E+01
 +8.35515E+01,-1.55921E+01
 +8.44406E+01,-1.59170E+01
 +8.53370E+01,-1.62409E+01
 +8.62339E+01,-1.65638E+01
 +8.71312E+01,-1.68791E+01
 +8.80619E+01,-1.68773E+01
 +8.89993E+01,-1.68619E+01
 +8.99366E+01,-1.68458E+01
 +9.08672E+01,-1.68292E+01
 +9.18044E+01,-1.68053E+01
 +9.27348E+01,-1.67744E+01
 +9.36719E+01,-1.67429E+01
 +9.46021E+01,-1.67042E+01
 +9.55390E+01,-1.66649E+01
 +9.64690E+01,-1.66184E+01
 +9.73988E+01,-1.65714E+01
 +9.83353E+01,-1.65172E+01
 +9.88803E+01,-1.58256E+01
 +9.94180E+01,-1.51384E+01
 +9.99551E+01,-1.44426E+01
 +1.00492E+02,-1.37514E+01
 +1.01021E+02,-1.30519E+01
 +1.01556E+02,-1.23571E+01
 +1.02078E+02,-1.16608E+01
 +1.02599E+02,-1.09629E+01
 +1.03126E+02,-1.02635E+01
 +1.03639E+02,-9.56286E+00
 +1.04158E+02,-8.86091E+00
 +1.04671E+02,-8.16454E+00
 +1.04870E+02,-7.62441E+00
 +1.04976E+02,-7.09846E+00
 +1.05046E+02,-6.44636E+00
 +1.05019E+02,-5.97475E+00
 +1.04886E+02,-5.54439E+00
 +1.04700E+02,-5.20777E+00
 +1.04266E+02,-4.77476E+00
 +1.03706E+02,-4.34326E+00
 +1.03083E+02,-3.75239E+00
 +1.02561E+02,-3.13314E+00
 +1.02045E+02,-2.42025E+00
 +1.01516E+02,-1.69401E+00
 +1.01068E+02,-1.06661E+00
 +1.00702E+02,-4.78226E-01
 +1.00247E+02,+2.88729E-01
 +9.98118E+01,+1.07552E+00
 +9.93595E+01,+1.68882E+00
 +9.88946E+01,+2.27509E+00
 +9.84363E+01,+2.90089E+00
 +9.81537E+01,+3.26280E+00
 +9.78712E+01,+3.62454E+00
 +9.72281E+01,+4.24746E+00
 +9.64512E+01,+3.55180E+00
 +9.56734E+01,+2.86236E+00
 +9.48924E+01,+2.20027E+00
 +9.45007E+01,+2.45522E+00
 +9.38522E+01,+3.04784E+00
 +9.33233E+01,+3.71379E+00
 +9.30006E+01,+4.38696E+00
 +9.27581E+01,+5.00028E+00
 +9.26346E+01,+5.69920E+00
 +9.24785E+01,+6.33089E+00
 +9.23823E+01,+6.94213E+00
 +9.20076E+01,+7.65573E+00
 +9.18792E+01,+8.15965E+00
 +9.17509E+01,+8.66275E+00
 +9.16955E+01,+9.12621E+00
 +9.16336E+01,+9.60190E+00
 +9.16576E+01,+1.00577E+01
 +9.16816E+01,+1.05126E+01
 +9.16841E+01,+1.12904E+01
 +9.08270E+01,+1.11374E+01
 +8.99631E+01,+1.09849E+01
 +8.91056E+01,+1.08264E+01
 +8.82479E+01,+1.06618E+01
 +8.73900E+01,+1.05042E+01
 +8.65320E+01,+1.03341E+01
 +8.58985E+01,+9.74818E+00
 +8.52710E+01,+9.16128E+00
 +8.46430E+01,+8.57345E+00
 +8.40143E+01,+7.98473E+00
 +8.33917E+01,+7.39519E+00
 +8.27686E+01,+6.80489E+00
 +8.21448E+01,+6.21387E+00
 +8.15272E+01,+5.62220E+00
 +8.06908E+01,+5.23536E+00
 +7.98539E+01,+4.85529E+00
 +7.90166E+01,+4.46881E+00
 +7.81787E+01,+4.08917E+00
 +7.73404E+01,+3.70313E+00
 +7.65081E+01,+3.31730E+00
 +7.56754E+01,+2.92509E+00
 +7.48422E+01,+2.53977E+00
 +7.40085E+01,+2.15474E+00
 +7.31742E+01,+1.76337E+00
 +7.23461E+01,+1.37226E+00
 +7.15109E+01,+9.88188E-01
 +7.06819E+01,+5.97740E-01
 +6.98523E+01,+2.07662E-01
 +6.97160E+01,-6.49657E-01
 +6.95861E+01,-1.51410E+00
 +6.94561E+01,-2.37207E+00
 +6.93260E+01,-3.23003E+00
 +6.91957E+01,-4.08780E+00
 +6.90585E+01,-4.94509E+00
 +6.89277E+01,-5.80853E+00
 +6.87969E+01,-6.66454E+00
*** end of line segment ***
Philippines                by Peter Bird, September 2001
 +1.20068E+02,+1.94858E+01
 +1.19748E+02,+1.88771E+01
 +1.19231E+02,+1.82002E+01
 +1.19114E+02,+1.76279E+01
 +1.19201E+02,+1.68391E+01
 +1.19208E+02,+1.65546E+01
 +1.19113E+02,+1.60674E+01
 +1.19000E+02,+1.53059E+01
 +1.18881E+02,+1.47973E+01
 +1.19029E+02,+1.40627E+01
 +1.19213E+02,+1.35393E+01
 +1.19525E+02,+1.31124E+01
 +1.19835E+02,+1.26852E+01
 +1.19963E+02,+1.18181E+01
 +1.20090E+02,+1.09510E+01
 +1.20216E+02,+1.00839E+01
 +1.20341E+02,+9.21664E+00
 +1.20466E+02,+8.34938E+00
 +1.20591E+02,+7.48209E+00
 +1.20715E+02,+6.61475E+00
 +1.20838E+02,+5.74739E+00
 +1.20961E+02,+4.88000E+00
 +1.21888E+02,+4.88000E+00
 +1.22816E+02,+4.88000E+00
 +1.23743E+02,+4.88000E+00
 +1.24671E+02,+4.88000E+00
 +1.25598E+02,+4.88000E+00
 +1.26526E+02,+4.88000E+00
 +1.27453E+02,+4.88000E+00
 +1.27456E+02,+5.07313E+00
 +1.27543E+02,+5.47377E+00
 +1.27504E+02,+5.89625E+00
 +1.27295E+02,+6.44654E+00
 +1.27279E+02,+7.29133E+00
 +1.27265E+02,+8.13614E+00
 +1.27099E+02,+8.74994E+00
 +1.26869E+02,+9.44888E+00
 +1.26619E+02,+1.02960E+01
 +1.26260E+02,+1.10596E+01
 +1.26286E+02,+1.16300E+01
 +1.26183E+02,+1.22649E+01
 +1.25732E+02,+1.28178E+01
 +1.25540E+02,+1.33053E+01
 +1.25197E+02,+1.41319E+01
 +1.24916E+02,+1.47041E+01
 +1.24380E+02,+1.52026E+01
 +1.23841E+02,+1.56999E+01
 +1.23378E+02,+1.60374E+01
 +1.22914E+02,+1.63740E+01
 +1.23066E+02,+1.70092E+01
 +1.23296E+02,+1.74225E+01
 +1.23528E+02,+1.78356E+01
 +1.23348E+02,+1.84273E+01
 +1.23011E+02,+1.88065E+01
 +1.22673E+02,+1.91851E+01
 +1.22134E+02,+1.93178E+01
 +1.21595E+02,+1.94490E+01
 +1.20832E+02,+1.94690E+01
 +1.20068E+02,+1.94858E+01
*** end of line segment ***
New Hebrides-Fiji          by Peter Bird, December 2001
 +1.65718E+02,-1.25347E+01
 +1.65801E+02,-1.27690E+01
 +1.65816E+02,-1.28931E+01
 +1.65860E+02,-1.30974E+01
 +1.65928E+02,-1.32835E+01
 +1.65997E+02,-1.35363E+01
 +1.66040E+02,-1.36994E+01
 +1.66067E+02,-1.38525E+01
 +1.66110E+02,-1.40157E+01
 +1.66139E+02,-1.42037E+01
 +1.66156E+02,-1.43692E+01
 +1.66157E+02,-1.44453E+01
 +1.66175E+02,-1.45823E+01
 +1.66177E+02,-1.47093E+01
 +1.66170E+02,-1.49121E+01
 +1.66118E+02,-1.50658E+01
 +1.66135E+02,-1.51520E+01
 +1.66124E+02,-1.52691E+01
 +1.66100E+02,-1.53698E+01
 +1.66114E+02,-1.54560E+01
 +1.66132E+02,-1.55835E+01
 +1.66131E+02,-1.56978E+01
 +1.66176E+02,-1.58231E+01
 +1.66189E+02,-1.59124E+01
 +1.66246E+02,-1.59999E+01
 +1.66301E+02,-1.61129E+01
 +1.66354E+02,-1.62098E+01
 +1.66413E+02,-1.63228E+01
 +1.66468E+02,-1.64611E+01
 +1.66510E+02,-1.65608E+01
 +1.66564E+02,-1.66482E+01
 +1.66633E+02,-1.67615E+01
 +1.66716E+02,-1.68593E+01
 +1.66774E+02,-1.70102E+01
 +1.66856E+02,-1.71238E+01
 +1.66962E+02,-1.72317E+01
 +1.67059E+02,-1.73329E+01
 +1.67076E+02,-1.74191E+01
 +1.67119E+02,-1.75441E+01
 +1.67148E+02,-1.76592E+01
 +1.67181E+02,-1.77839E+01
 +1.67226E+02,-1.79470E+01
 +1.67253E+02,-1.80461E+01
 +1.67299E+02,-1.81712E+01
 +1.67330E+02,-1.82704E+01
 +1.67360E+02,-1.83854E+01
 +1.67389E+02,-1.85100E+01
 +1.67409E+02,-1.86342E+01
 +1.67426E+02,-1.87362E+01
 +1.67511E+02,-1.89098E+01
 +1.67584E+02,-1.90735E+01
 +1.67632E+02,-1.92587E+01
 +1.67715E+02,-1.93971E+01
 +1.67792E+02,-1.95576E+01
 +1.67846E+02,-1.96572E+01
 +1.67906E+02,-1.97950E+01
 +1.67980E+02,-1.99173E+01
 +1.68065E+02,-2.00270E+01
 +1.68093E+02,-2.01164E+01
 +1.68168E+02,-2.02259E+01
 +1.68239E+02,-2.03479E+01
 +1.68299E+02,-2.04982E+01
 +1.68417E+02,-2.06718E+01
 +1.68488E+02,-2.08063E+01
 +1.68549E+02,-2.09185E+01
 +1.68607E+02,-2.10400E+01
 +1.68680E+02,-2.11270E+01
 +1.68782E+02,-2.12873E+01
 +1.68900E+02,-2.14446E+01
 +1.68956E+02,-2.15311E+01
 +1.69045E+02,-2.16657E+01
 +1.69118E+02,-2.17493E+01
 +1.69191E+02,-2.18486E+01
 +1.69223E+02,-2.19345E+01
 +1.69321E+02,-2.20058E+01
 +1.69394E+02,-2.20766E+01
 +1.69481E+02,-2.21476E+01
 +1.69623E+02,-2.22542E+01
 +1.69737E+02,-2.23761E+01
 +1.69851E+02,-2.24694E+01
 +1.69938E+02,-2.25717E+01
 +1.70012E+02,-2.26454E+01
 +1.70124E+02,-2.27007E+01
 +1.70223E+02,-2.27588E+01
 +1.70321E+02,-2.28169E+01
 +1.70450E+02,-2.28848E+01
 +1.70562E+02,-2.29397E+01
 +1.70648E+02,-2.29754E+01
 +1.70743E+02,-2.30049E+01
 +1.70842E+02,-2.30248E+01
 +1.70938E+02,-2.30573E+01
 +1.71065E+02,-2.30869E+01
 +1.71191E+02,-2.31290E+01
 +1.71287E+02,-2.31488E+01
 +1.71397E+02,-2.31685E+01
 +1.71523E+02,-2.31852E+01
 +1.71606E+02,-2.32047E+01
 +1.71757E+02,-2.32057E+01
 +1.71853E+02,-2.32125E+01
 +1.71962E+02,-2.32320E+01
 +1.72100E+02,-2.32358E+01
 +1.72182E+02,-2.32298E+01
 +1.72264E+02,-2.32364E+01
 +1.72347E+02,-2.32748E+01
 +1.72881E+02,-2.30811E+01
 +1.73414E+02,-2.28855E+01
 +1.73996E+02,-2.28141E+01
 +1.74933E+02,-2.26119E+01
 +1.75782E+02,-2.22550E+01
 +1.76338E+02,-2.18251E+01
 +1.76890E+02,-2.13933E+01
 +1.77523E+02,-2.08742E+01
 +1.77971E+02,-2.05474E+01
 +1.78418E+02,-2.02194E+01
 +1.79011E+02,-1.97383E+01
 +1.79264E+02,-1.92657E+01
 +1.79516E+02,-1.87928E+01
 +1.79668E+02,-1.83596E+01
